,International faculty members,International students,Total faculty members,Total students,country,detail_page,name,rank,region,original rank
177,504.0,4597,5419.0,45485.0,United States,https://www.topuniversities.com/universities/university-florida,University of Florida,178,North America,178
178,19.0,93,876.0,9402.0,India,https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb,Indian Institute of Technology Bombay (IITB),179,Asia,179
179,299.0,2235,910.0,9332.0,Netherlands,https://www.topuniversities.com/universities/university-twente,University of Twente,180,Europe,179
180,641.0,3736,3678.0,30402.0,Germany,https://www.topuniversities.com/universities/university-g%C3%B6ttingen,University of Göttingen,181,Europe,181
181,515.0,1853,1792.0,9284.0,Belgium,https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub,Vrije Universiteit Brussel (VUB),182,Europe,182
182,109.0,966,1968.0,26572.0,Brazil,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,Universidade Estadual de Campinas (Unicamp),183,Latin America,182
183,566.0,2679,3685.0,30219.0,United States,https://www.topuniversities.com/universities/university-colorado-boulder,University of Colorado Boulder,184,North America,182
184,172.0,5199,706.0,17479.0,Austria,https://www.topuniversities.com/universities/vienna-university-technology,Vienna University of Technology,185,Europe,182
185,488.0,2805,2569.0,9636.0,United States,https://www.topuniversities.com/universities/university-rochester,University of Rochester,186,North America,186
186,181.0,2976,2738.0,26511.0,Spain,https://www.topuniversities.com/universities/universidad-aut%C3%B3noma-de-madrid,Universidad Autónoma de Madrid,187,Europe,187
187,153.0,4195,2990.0,63399.0,Italy,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna,Alma Mater Studiorum - University of Bologna,188,Europe,188
188,422.0,4077,1280.0,13330.0,United Kingdom,https://www.topuniversities.com/universities/university-reading,University of Reading,189,Europe,188
189,,47,423.0,4071.0,India,https://www.topuniversities.com/universities/indian-institute-science-iisc-bangalore,Indian Institute of Science (IISc) Bangalore,190,Asia,190
190,379.0,3325,1733.0,19593.0,South Africa,https://www.topuniversities.com/universities/university-cape-town,University of Cape Town,191,Africa,191
191,1.0,48,86.0,532.0,Italy,https://www.topuniversities.com/universities/scuola-normale-superiore-di-pisa,Scuola Normale Superiore di Pisa,192,Europe,192
192,1.0,135,119.0,789.0,Italy,https://www.topuniversities.com/universities/scuola-superiore-santanna-pisa-di-studi-universitari-e-di-perfezionamento,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,193,Europe,192
193,261.0,2178,3905.0,33500.0,Japan,https://www.topuniversities.com/universities/keio-university-cems-mim,Keio University CEMS MIM,194,Asia,192
194,646.0,2636,2154.0,28281.0,Sweden,https://www.topuniversities.com/universities/stockholm-university,Stockholm University,195,Europe,195
195,230.0,3848,2187.0,31986.0,Spain,https://www.topuniversities.com/universities/universitat-aut%C3%B2noma-de-barcelona,Universitat Autònoma de Barcelona,196,Europe,195
196,206.0,4900,3446.0,60294.0,United States,https://www.topuniversities.com/universities/texas-am-university,Texas A&M University,197,North America,195
197,821.0,1412,1822.0,13376.0,Mexico,https://www.topuniversities.com/universities/instituto-tecnol%C3%B3gico-y-de-estudios-superiores-de-monterrey,Instituto Tecnológico y de Estudios Superiores de Monterrey,198,Latin America,199
198,502.0,8234,1277.0,16385.0,Netherlands,https://www.topuniversities.com/universities/maastricht-university,Maastricht University,199,Europe,200
199,127.0,2134,2256.0,38848.0,Chile,https://www.topuniversities.com/universities/universidad-de-chile,Universidad de Chile,200,Latin America,201
